fight_stat_id,fight_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,fight_url
7808,3904,862.0,0,209,79,204,74,0.0,0.0,0,0,,http://ufcstats.com/fight-details/0b26d635106aea1c
7807,3904,633.0,0,149,66,141,61,2.0,0.0,0,0,,http://ufcstats.com/fight-details/0b26d635106aea1c
7804,3902,1249.0,0,59,27,51,20,3.0,1.0,0,0,,http://ufcstats.com/fight-details/a71febed166b7d42
7803,3902,3229.0,0,66,38,34,9,13.0,6.0,0,0,,http://ufcstats.com/fight-details/a71febed166b7d42
7802,3901,3791.0,0,175,68,168,61,5.0,2.0,0,0,,http://ufcstats.com/fight-details/770312f3ca8506b6
7801,3901,2409.0,0,237,99,214,82,0.0,0.0,0,1,,http://ufcstats.com/fight-details/770312f3ca8506b6
7800,3900,2017.0,0,161,90,124,56,6.0,4.0,0,0,,http://ufcstats.com/fight-details/87b6c507a7684ec2
7799,3900,4049.0,0,161,111,81,31,0.0,0.0,0,0,,http://ufcstats.com/fight-details/87b6c507a7684ec2
7798,3899,2365.0,0,116,86,58,28,7.0,5.0,3,1,,http://ufcstats.com/fight-details/02822c35ffef5a50
7797,3899,3100.0,0,157,110,61,24,4.0,4.0,2,0,,http://ufcstats.com/fight-details/02822c35ffef5a50
7796,3898,3807.0,0,232,69,232,69,0.0,0.0,0,0,,http://ufcstats.com/fight-details/5e1370a92ce8abb0
7795,3898,3502.0,1,197,70,195,68,7.0,1.0,0,0,,http://ufcstats.com/fight-details/5e1370a92ce8abb0
7794,3897,3102.0,0,31,11,31,11,1.0,0.0,0,0,,http://ufcstats.com/fight-details/27ff7028ec8c2161
7793,3897,1819.0,0,70,50,63,44,0.0,0.0,0,0,,http://ufcstats.com/fight-details/27ff7028ec8c2161
7792,3896,3324.0,0,148,50,142,45,7.0,6.0,0,0,,http://ufcstats.com/fight-details/9cad47cdd6351e50
7791,3896,3562.0,0,121,83,94,59,2.0,0.0,0,0,,http://ufcstats.com/fight-details/9cad47cdd6351e50
7790,3895,1756.0,0,47,25,36,14,2.0,2.0,1,0,,http://ufcstats.com/fight-details/a716172939767cab
