fighter_id,fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
2766,chase,gormley,Not Available,190.5,265.0,182.88,orthodox,1900-01-01,14,6,0,1.0,http://ufcstats.com/fighter-details/052ceb8976695342
2765,jonathan,goulet,The Road Warrior,182.88,170.0,185.42,orthodox,1979-07-13,23,12,0,1.0,http://ufcstats.com/fighter-details/fb1538b46877a695
2764,thibault,gouti,GT,177.8,155.0,182.88,orthodox,1987-02-27,12,5,0,0.0,http://ufcstats.com/fighter-details/51e86de150ee8be6
2763,wilson,gouveia,Not Available,185.42,185.0,193.04,orthodox,1978-10-03,14,8,0,0.0,http://ufcstats.com/fighter-details/af5b208e97f5d382
2762,todd,gouwenberg,Not Available,185.42,205.0,182.88,orthodox,1974-09-25,9,5,0,0.0,http://ufcstats.com/fighter-details/c44acf87e376c62b
2761,hugo,govea,Not Available,177.8,170.0,182.88,not available,1900-01-01,0,1,0,0.0,http://ufcstats.com/fighter-details/2391a73686200c5d
2760,justin,governale,The Therapist,177.8,145.0,182.88,not available,1900-01-01,5,5,0,0.0,http://ufcstats.com/fighter-details/ae954fd497025462
2759,damian,grabowski,The Polish Pitbull,185.42,241.0,190.5,orthodox,1980-05-12,20,5,0,0.0,http://ufcstats.com/fighter-details/3f11b5d4bd76a6d9
2758,royce,gracie,Not Available,185.42,175.0,182.88,southpaw,1966-12-12,15,2,3,0.0,http://ufcstats.com/fighter-details/429e7d3725852ce9
2757,crosley,gracie,Not Available,175.26,190.0,182.88,orthodox,1979-07-18,2,2,0,0.0,http://ufcstats.com/fighter-details/52d92050a046bc17
2756,daniel,gracie,Not Available,187.96,225.0,182.88,orthodox,1900-01-01,5,4,1,0.0,http://ufcstats.com/fighter-details/82d6a9ae41aac3f7
2755,ralph,gracie,Not Available,175.26,183.0,182.88,orthodox,1900-01-01,6,1,0,0.0,http://ufcstats.com/fighter-details/a9c45a8b21eabadc
2754,renzo,gracie,Not Available,177.8,185.0,182.88,orthodox,1967-03-11,13,7,1,1.0,http://ufcstats.com/fighter-details/aae0897825336b1a
2753,rickson,gracie,Not Available,177.8,185.0,182.88,switch,1958-11-20,11,0,0,0.0,http://ufcstats.com/fighter-details/194fc025f9355db6
2752,rodrigo,gracie,Not Available,182.88,183.0,182.88,orthodox,1975-04-11,6,2,1,0.0,http://ufcstats.com/fighter-details/36877f0e62b25b96
2751,royler,gracie,Not Available,172.72,150.0,182.88,southpaw,1965-12-06,5,5,1,0.0,http://ufcstats.com/fighter-details/b807814d977682eb
2750,ryan,gracie,Not Available,175.26,200.0,182.88,orthodox,1974-08-14,5,2,0,0.0,http://ufcstats.com/fighter-details/0c3838c8f7c620c2
2749,ralek,gracie,Not Available,187.96,210.0,182.88,orthodox,1985-10-04,3,1,0,0.0,http://ufcstats.com/fighter-details/84283233ec42be5f
2748,rolles,gracie,Not Available,193.04,242.0,182.88,orthodox,1978-07-14,8,4,0,0.0,http://ufcstats.com/fighter-details/e4a9dbade7c7e1a7
2747,cesar,gracie,Not Available,177.8,181.0,182.88,orthodox,1900-01-01,0,1,0,0.0,http://ufcstats.com/fighter-details/079488710f012779
2746,roger,gracie,Not Available,193.04,185.0,200.66,orthodox,1981-09-26,8,2,0,0.0,http://ufcstats.com/fighter-details/a6bbd3df469c6bea
2745,igor,gracie,Not Available,180.34,170.0,182.88,not available,1980-02-04,5,4,0,0.0,http://ufcstats.com/fighter-details/722b870449243083
2744,neiman,gracie,Not Available,182.88,170.0,182.88,not available,1900-01-01,6,0,0,0.0,http://ufcstats.com/fighter-details/12d855d12a624da2
2743,kron,gracie,Not Available,175.26,145.0,177.8,southpaw,1988-07-11,5,2,0,0.0,http://ufcstats.com/fighter-details/242d36d241b43c12
2742,bogdan,grad,The Unleashed,172.72,155.0,177.8,orthodox,1995-09-28,11,2,0,0.0,http://ufcstats.com/fighter-details/fb37795db81f93f3
2741,steven,graham,Not Available,185.42,290.0,182.88,orthodox,1900-01-01,2,1,0,0.0,http://ufcstats.com/fighter-details/3e514f437c51ce0a
2740,scott,graham,Not Available,193.04,185.0,182.88,orthodox,1900-01-01,3,1,0,0.0,http://ufcstats.com/fighter-details/6e4acc2c115215b5
2739,miranda,granger,Danger,170.18,115.0,172.72,orthodox,1992-04-13,7,3,0,0.0,http://ufcstats.com/fighter-details/7559395ad833c074
2738,tj,grant,Not Available,177.8,155.0,182.88,orthodox,1984-02-26,21,5,0,0.0,http://ufcstats.com/fighter-details/a26198ba5093147e
2737,davey,grant,Dangerous,172.72,135.0,175.26,orthodox,1985-12-18,15,7,0,0.0,http://ufcstats.com/fighter-details/113df4fde64735c6
2736,dwight,grant,The Body Snatcher,185.42,185.0,193.04,switch,1984-09-14,11,6,0,0.0,http://ufcstats.com/fighter-details/8be158ca1e5ea6a0
2735,alexa,grasso,Not Available,165.1,125.0,167.64,orthodox,1993-08-09,16,3,1,0.0,http://ufcstats.com/fighter-details/e8b731feff72294b
2734,tony,gravely,Not Available,165.1,135.0,175.26,orthodox,1991-09-28,23,9,0,0.0,http://ufcstats.com/fighter-details/601964f9654f911a
2733,michael,graves,Not Available,177.8,170.0,180.34,orthodox,1991-01-08,6,0,1,0.0,http://ufcstats.com/fighter-details/3f1d23b01c552a13
2732,shelton,graves,The Gravedigger,187.96,255.0,193.04,southpaw,1985-10-23,7,3,0,0.0,http://ufcstats.com/fighter-details/642862d6d63605cd
2731,james,gray,The Phenom,175.26,135.0,182.88,orthodox,1987-10-25,4,1,0,0.0,http://ufcstats.com/fighter-details/2db65fc038c0018e
2730,kevin,gray,Pocket Herc,162.56,125.0,170.18,orthodox,1985-05-03,9,4,0,0.0,http://ufcstats.com/fighter-details/bb0d290026d7681d
2729,sam,greco,Not Available,187.96,205.0,182.88,orthodox,1967-05-03,3,1,1,0.0,http://ufcstats.com/fighter-details/6d12031661db8ac8
2728,bobby,green,King,177.8,155.0,180.34,orthodox,1986-09-09,30,14,1,1.0,http://ufcstats.com/fighter-details/887961364be5ceb3
2727,desmond,green,The Predator,177.8,155.0,185.42,southpaw,1989-10-11,23,8,0,0.0,http://ufcstats.com/fighter-details/f046d724d2a84ac5
2726,gabe,green,Gifted,177.8,170.0,185.42,switch,1993-05-02,11,5,0,0.0,http://ufcstats.com/fighter-details/5eb50529a8418b77
2725,maurice,greene,The Crochet Boss,200.66,258.0,203.2,orthodox,1986-07-05,9,7,0,0.0,http://ufcstats.com/fighter-details/068f8a189a47fea6
2724,matt,grice,The Real One,172.72,145.0,177.8,orthodox,1981-07-29,15,5,0,0.0,http://ufcstats.com/fighter-details/bfc2fc38a0e20211
2723,forrest,griffin,Not Available,190.5,205.0,195.58,orthodox,1979-03-16,19,7,0,0.0,http://ufcstats.com/fighter-details/fcffee71cff5530e
2722,tyson,griffin,Not Available,167.64,145.0,172.72,orthodox,1984-04-20,16,8,0,0.0,http://ufcstats.com/fighter-details/20205040232ed0f3
2721,max,griffin,Pain,180.34,170.0,193.04,orthodox,1985-11-29,19,10,0,0.0,http://ufcstats.com/fighter-details/b0d6a1d8ac3d563d
2720,jordan,griffin,Native Psycho,177.8,145.0,185.42,southpaw,1990-02-28,18,9,0,0.0,http://ufcstats.com/fighter-details/ebef46976554f975
2719,chad,griggs,The Grave Digger,185.42,205.0,185.42,orthodox,1978-05-15,11,3,0,0.0,http://ufcstats.com/fighter-details/fdf18227faa596dd
2718,charalampos,grigoriou,Ferocious,170.18,135.0,170.18,orthodox,1992-03-31,8,3,0,0.0,http://ufcstats.com/fighter-details/68b8ebdfce9dbb61
2717,chuck,grigsby,The Reverend,198.12,205.0,182.88,orthodox,1900-01-01,23,10,0,0.0,http://ufcstats.com/fighter-details/7fb4234670271505
2716,rodrigo,gripp de sousa,Riscado,180.34,205.0,182.88,orthodox,1900-01-01,7,9,0,0.0,http://ufcstats.com/fighter-details/dde70a112e053a6c
2715,maxim,grishin,Maximus,190.5,205.0,198.12,orthodox,1984-05-02,32,10,2,0.0,http://ufcstats.com/fighter-details/950d0ef5c17157c5
2714,josh,grispi,The Fluke,180.34,145.0,187.96,orthodox,1988-10-14,14,5,0,0.0,http://ufcstats.com/fighter-details/60ba33c3f555a7a3
2713,garrett,gross,Not Available,175.26,155.0,182.88,orthodox,1988-08-08,11,7,0,0.0,http://ufcstats.com/fighter-details/6741218640534d8b
2712,kendall,grove,Da Spyder,198.12,185.0,200.66,orthodox,1982-11-12,23,17,0,1.0,http://ufcstats.com/fighter-details/234f3767ff0e5701
2711,neil,grove,Goliath,198.12,265.0,182.88,orthodox,1971-01-18,12,8,1,0.0,http://ufcstats.com/fighter-details/36a432f22144843e
2710,chris,gruetzemacher,Gritz,172.72,155.0,172.72,orthodox,1986-06-16,15,5,0,0.0,http://ufcstats.com/fighter-details/feaf00f3373435d6
2709,vik,grujic,The Spartan,180.34,170.0,185.42,orthodox,1977-02-06,6,6,0,0.0,http://ufcstats.com/fighter-details/1e7483dbff40b84b
2708,mike,grundy,Not Available,170.18,145.0,182.88,orthodox,1987-01-03,12,4,0,0.0,http://ufcstats.com/fighter-details/56fcb2c4d99f9d1b
2707,wang,guan,The Dongbei Tiger,175.26,145.0,180.34,orthodox,1986-03-14,20,1,1,0.0,http://ufcstats.com/fighter-details/dd12382f28296f7b
2706,nandor,guelmino,The Hun,190.5,230.0,182.88,not available,1975-12-20,11,5,1,0.0,http://ufcstats.com/fighter-details/1abfb658cd4f8533
2705,fabricio,guerreiro,Not Available,177.8,145.0,182.88,not available,1990-07-24,21,5,0,1.0,http://ufcstats.com/fighter-details/2963369e327e1979
2704,rainn,guerrero,Purple Rainn,167.64,125.0,165.1,orthodox,1992-05-13,5,2,0,0.0,http://ufcstats.com/fighter-details/8300a47f6fd6fe4f
